,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
283,2021,Data Engineer,MI,PT,"5,549,256.00","66,591.07",NL,NL,L,100
284,2021,Staff Data Scientist,SE,CT,"8,354,798.00","100,257.58",US,US,M,100
285,2021,Research Scientist,MI,FT,"5,569,785.00","66,837.42",CZ,CZ,L,50
286,2021,Data Science Manager,SE,FT,"7,532,447.00","90,389.36",IN,IN,L,50
287,2021,Head of Data,SE,FT,"8,182,848.00","98,194.18",SI,SI,L,100
288,2021,Data Scientist,MI,FT,"8,673,076.00","104,076.91",US,US,L,50
289,2021,Machine Learning Engineer,MI,FT,"4,063,137.00","48,757.64",IT,IT,L,50
290,2022,Data Engineer,SE,FT,"10,741,883.00","128,902.60",US,US,M,100
291,2022,Data Analyst,SE,FT,"12,333,273.00","147,999.28",US,US,M,100
292,2022,Data Analyst,SE,FT,"9,596,082.00","115,152.98",US,US,M,100
293,2022,Data Scientist,MI,FT,"10,344,035.00","124,128.42",US,US,M,0
294,2022,Data Scientist,MI,FT,"7,161,255.00","85,935.06",US,US,M,0
295,2022,Data Engineer,MI,FT,"13,526,815.00","162,321.78",US,US,M,100
296,2022,Data Engineer,MI,FT,"11,935,425.00","143,225.10",US,US,M,100
297,2022,Data Analyst,SE,FT,"8,124,046.00","97,488.55",US,US,M,100
298,2022,Data Analyst,SE,FT,"6,755,451.00","81,065.41",US,US,M,100
299,2022,Data Scientist,SE,FT,"10,870,785.00","130,449.42",US,US,M,100
300,2022,Data Scientist,SE,FT,"7,906,026.00","94,872.31",US,US,M,100
301,2022,Data Scientist,SE,FT,"9,372,412.00","112,468.94",GB,GB,M,0
302,2022,Data Scientist,SE,FT,"8,331,086.00","99,973.03",GB,GB,M,0
303,2022,Data Scientist,SE,FT,"11,617,147.00","139,405.76",US,US,M,100
304,2022,Data Scientist,SE,FT,"9,787,049.00","117,444.59",US,US,M,100
305,2022,Data Engineer,EN,FT,"4,165,543.00","49,986.52",GB,GB,M,100
306,2022,Data Analyst,SE,FT,"7,877,381.00","94,528.57",US,US,M,0
307,2022,Data Analyst,SE,FT,"9,230,062.00","110,760.74",US,US,M,0
308,2022,Data Analyst,MI,FT,"8,455,055.00","101,460.66",US,US,M,0
309,2022,Data Analyst,MI,FT,"10,065,542.00","120,786.50",US,US,M,0
310,2022,Data Engineer,EX,FT,"19,255,819.00","231,069.83",US,US,M,100
311,2022,Data Engineer,EX,FT,"15,913,900.00","190,966.80",US,US,M,100
